Map Name,Series ID,Published GIS Uploaded to Postgres,Publication Year,Vector GIS Published,Tabular GIS Altered,Unit Symbol Source,Unit Name Source,Unit Description Source,Unit Age Source,Notes,genesis Source,composition Source,source Source,confidence Source
Gold Hill Quad,M-301DR,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Kanarraville Quad,M-299DM,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Bountiful Peak Quad,M-298DM,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Rush Valley Quad,M-294DM,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Loa West Quad,M-292DM,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Park City West Quad,M-297DM,FALSE,2022,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Park City East Quad,M-296DM,FALSE,2022,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Heber City Quad,M-295DM,FALSE,2022,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Hurricane Quad,M-293DR,FALSE,2022,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
St George Quad,M-291DR,FALSE,2022,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Peterson Quad,OFR-734DM,FALSE,2021,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Newfoundland Mtns Quad,MP-173DM,FALSE,2021,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Tickville Spring Quad,M-290DR,FALSE,2021,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Bicknell Quad,M-289DM,FALSE,2021,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Lyman Quad,M-288DM,FALSE,2021,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Beaver NW Quad,OFR-729DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Deep Creek Mtns WSA Quad,OFR-717DR,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Grouse Creek Quad,OFR-716DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
